"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 05 02:56:59 GMT 2023","Wed Jul 05 02:57:03 GMT 2023","3926","CLICK_ON_DIFFERENT_BUTTON_TYPES","Display button click when clicked on","","","","Display button click when clicked on",""
"passed","Wed Jul 05 02:58:12 GMT 2023","Wed Jul 05 02:58:15 GMT 2023","3630","WIDGET_DISPLAY_AND_MENUS","Navigate using in-page menu and sub-menu contents on hover","","","","Navigate using in-page menu and sub-menu contents on hover",""
"passed","Wed Jul 05 02:56:21 GMT 2023","Wed Jul 05 02:56:29 GMT 2023","8527","BROWSER_WINDOWS_AND_TABS","Redirection to a new tab when clicking on ""New Tab"" button","","","","Redirection to a new tab when clicking on ""New Tab"" button",""
"passed","Wed Jul 05 02:59:06 GMT 2023","Wed Jul 05 02:59:10 GMT 2023","3655","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Check suggestions when using autocomplete on input field","","","","Check suggestions when using autocomplete on input field",""
"passed","Wed Jul 05 02:57:03 GMT 2023","Wed Jul 05 02:57:11 GMT 2023","8568","CLICK_ON_DIFFERENT_BUTTON_TYPES","Check dynamic elements change properties after 5 seconds","","","","Check dynamic elements change properties after 5 seconds",""
"passed","Wed Jul 05 02:55:33 GMT 2023","Wed Jul 05 02:55:38 GMT 2023","4587","ADD_DELETE_UPDATE_WEBTABLE_DATA","Edit the first entry in the web table","","","","Edit the first entry in the web table",""
"passed","Wed Jul 05 02:54:53 GMT 2023","Wed Jul 05 02:54:53 GMT 2023","159","API_CALLS","Search a pet in petstore API","","","","Search a pet in petstore API",""
"unknown","Wed Jul 05 02:57:53 GMT 2023","Wed Jul 05 02:57:53 GMT 2023","4","FRAMES","Check multiple frames are displayed properly","","","","Check multiple frames are displayed properly",""
"passed","Wed Jul 05 02:57:11 GMT 2023","Wed Jul 05 02:57:16 GMT 2023","5038","DRAG_AND_DROP","Drag and drop a draggable element into another","","","","Drag and drop a draggable element into another",""
"unknown","Wed Jul 05 02:59:10 GMT 2023","Wed Jul 05 02:59:13 GMT 2023","2625","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Checking a date via date picker using input field","","","","Checking a date via date picker using input field",""
"passed","Wed Jul 05 02:56:29 GMT 2023","Wed Jul 05 02:56:36 GMT 2023","7034","BROWSER_WINDOWS_AND_TABS","Redirection to a new window when clicking on ""New Window"" button","","","","Redirection to a new window when clicking on ""New Window"" button",""
"unknown","Wed Jul 05 02:57:53 GMT 2023","Wed Jul 05 02:57:53 GMT 2023","4","FRAMES","Check frames nested are displayed properly","","","","Check frames nested are displayed properly",""
"passed","Wed Jul 05 02:55:29 GMT 2023","Wed Jul 05 02:55:33 GMT 2023","4126","ADD_DELETE_UPDATE_WEBTABLE_DATA","Add a new entry to web table","","","","Add a new entry to web table",""
"passed","Wed Jul 05 02:54:53 GMT 2023","Wed Jul 05 02:54:54 GMT 2023","45","API_CALLS","Rename a pet in petstore API","","","","Rename a pet in petstore API",""
"passed","Wed Jul 05 02:56:10 GMT 2023","Wed Jul 05 02:56:13 GMT 2023","3940","ALERT_AND_POPUP_DISPLAY","Check different alerts popins are displayed","","","","Check different alerts popins are displayed",""
"passed","Wed Jul 05 02:55:24 GMT 2023","Wed Jul 05 02:55:29 GMT 2023","4521","ACCESS_LINKS","Check broken links returns an error 500","","","","Check broken links returns an error 500",""
"passed","Wed Jul 05 02:56:44 GMT 2023","Wed Jul 05 02:56:48 GMT 2023","4405","CLICK_ON_DIFFERENT_BUTTON_TYPES","Display checkbox folders and sub-folders when checked","","","","Display checkbox folders and sub-folders when checked",""
"passed","Wed Jul 05 02:56:36 GMT 2023","Wed Jul 05 02:56:44 GMT 2023","7367","BROWSER_WINDOWS_AND_TABS","Opening a new window with text when clicking on ""New Window Message"" button","","","","Opening a new window with text when clicking on ""New Window Message"" button",""
"unknown","Wed Jul 05 02:58:09 GMT 2023","Wed Jul 05 02:58:12 GMT 2023","2764","WIDGET_DISPLAY_AND_MENUS","Navigate using in-page tab contents on click","","","","Navigate using in-page tab contents on click",""
"unknown","Wed Jul 05 02:59:13 GMT 2023","Wed Jul 05 02:59:15 GMT 2023","2813","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Checking a date via date picker using calendar module","","","","Checking a date via date picker using calendar module",""
"unknown","Wed Jul 05 02:59:15 GMT 2023","Wed Jul 05 02:59:18 GMT 2023","2718","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Change input value by moving the slider","","","","Change input value by moving the slider",""
"unknown","Wed Jul 05 02:59:18 GMT 2023","Wed Jul 05 02:59:21 GMT 2023","2715","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Change input value by clicking on the slider bar","","","","Change input value by clicking on the slider bar",""
"passed","Wed Jul 05 02:55:38 GMT 2023","Wed Jul 05 02:55:41 GMT 2023","3807","ADD_DELETE_UPDATE_WEBTABLE_DATA","Delete the third entry in the web table","","","","Delete the third entry in the web table",""
"passed","Wed Jul 05 02:59:02 GMT 2023","Wed Jul 05 02:59:06 GMT 2023","3957","WIDGET_DISPLAY_AND_MENUS","Display information tooltips on hover for designated element","","","","Display information tooltips on hover for designated element",""
"passed","Wed Jul 05 02:54:54 GMT 2023","Wed Jul 05 02:54:58 GMT 2023","4139","ACCESS_LINKS","Redirection to a new page when clicking on link (tabs and windows)","","","","Redirection to a new page when clicking on link (tabs and windows)",""
"skipped","Wed Jul 05 02:54:54 GMT 2023","Wed Jul 05 02:54:54 GMT 2023","1","CONTAINER-MSSQL","Retrieve version MSSQL","","","","Retrieve version MSSQL",""
"passed","Wed Jul 05 02:55:45 GMT 2023","Wed Jul 05 02:55:48 GMT 2023","3459","ADD_DELETE_UPDATE_WEBTABLE_DATA","Upload a file and check file path","","","","Upload a file and check file path",""
"passed","Wed Jul 05 02:54:53 GMT 2023","Wed Jul 05 02:54:53 GMT 2023","187","API_CALLS","Create a new pet in petstore API","","","","Create a new pet in petstore API",""
"passed","Wed Jul 05 02:56:55 GMT 2023","Wed Jul 05 02:56:59 GMT 2023","3424","CLICK_ON_DIFFERENT_BUTTON_TYPES","Display radio button text when selected","","","","Display radio button text when selected",""
"passed","Wed Jul 05 02:55:48 GMT 2023","Wed Jul 05 02:55:52 GMT 2023","3501","ADD_DELETE_UPDATE_WEBTABLE_DATA","Download a file online","","","","Download a file online",""
"passed","Wed Jul 05 02:59:25 GMT 2023","Wed Jul 05 02:59:28 GMT 2023","3831","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Click on ""Stop"" to stop the progress bar from filling","","","","Click on ""Stop"" to stop the progress bar from filling",""
"passed","Wed Jul 05 02:55:20 GMT 2023","Wed Jul 05 02:55:24 GMT 2023","3932","ACCESS_LINKS","Check API response by clicking on links","","","","Check API response by clicking on links",""
"passed","Wed Jul 05 02:56:17 GMT 2023","Wed Jul 05 02:56:21 GMT 2023","3480","ALERT_AND_POPUP_DISPLAY","Check different modals dialogs popin are displayed","","","","Check different modals dialogs popin are displayed",""
"skipped","Wed Jul 05 02:54:54 GMT 2023","Wed Jul 05 02:54:54 GMT 2023","1","CONTAINER-MYSQL","Retrieve version Mysql","","","","Retrieve version Mysql",""
"unknown","Wed Jul 05 02:57:58 GMT 2023","Wed Jul 05 02:58:01 GMT 2023","2791","WIDGET_DISPLAY_AND_MENUS","Open only the selected accordian section on click","","","","Open only the selected accordian section on click",""
"passed","Wed Jul 05 02:55:41 GMT 2023","Wed Jul 05 02:55:45 GMT 2023","3375","ADD_DELETE_UPDATE_WEBTABLE_DATA","Search Kierra entry in the web table","","","","Search Kierra entry in the web table",""
"passed","Wed Jul 05 02:59:28 GMT 2023","Wed Jul 05 02:59:33 GMT 2023","4190","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","The button ""Reset"" is visible after the progress bar is at 100%","","","","The button ""Reset"" is visible after the progress bar is at 100%",""
"failed","Wed Jul 05 02:58:15 GMT 2023","Wed Jul 05 02:58:51 GMT 2023","35305","WIDGET_DISPLAY_AND_MENUS","Fill all the select fields displayed","","","","Fill all the select fields displayed",""
"failed","Wed Jul 05 02:57:16 GMT 2023","Wed Jul 05 02:57:53 GMT 2023","36204","FILL_FORMS","Fill a complete form using external json data","","","","Fill a complete form using external json data",""
"passed","Wed Jul 05 02:59:21 GMT 2023","Wed Jul 05 02:59:25 GMT 2023","3772","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Click on ""Start"" to fill up the progress bar","","","","Click on ""Start"" to fill up the progress bar",""
"passed","Wed Jul 05 02:54:54 GMT 2023","Wed Jul 05 02:54:54 GMT 2023","75","API_CALLS","Delete a pet in petstore API","","","","Delete a pet in petstore API",""
