"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1343","Checking a date via date picker using calendar module","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Apr 24 05:08:53 UTC 2026","unknown","Fri Apr 24 05:08:54 UTC 2026","","Checking a date via date picker using calendar module","",""
"","32660","Display button click when clicked on","UI","Fri Apr 24 05:03:14 UTC 2026","failed","Fri Apr 24 05:03:47 UTC 2026","","popup","",""
"","1332","Open only the selected accordian section on click","WIDGET_DISPLAY_AND_MENUS","Fri Apr 24 05:05:00 UTC 2026","unknown","Fri Apr 24 05:05:01 UTC 2026","","Open only the selected accordian section on click","",""
"","32122","Search Kierra entry in the web table","ADD_DELETE_UPDATE_WEBTABLE_DATA","Fri Apr 24 04:56:59 UTC 2026","failed","Fri Apr 24 04:57:31 UTC 2026","","Search Kierra entry in the web table","",""
"","31939","Drag and drop a draggable element into another","DRAG_AND_DROP","Fri Apr 24 05:03:54 UTC 2026","failed","Fri Apr 24 05:04:26 UTC 2026","","Drag and drop a draggable element into another","",""
"","5791","Redirection to a new window when clicking on ""New Window"" button","BROWSER_WINDOWS_AND_TABS","Fri Apr 24 05:00:54 UTC 2026","passed","Fri Apr 24 05:01:00 UTC 2026","","Redirection to a new window when clicking on ""New Window"" button","",""
"","72","Delete a pet in petstore API","APIs","Fri Apr 24 04:51:00 UTC 2026","passed","Fri Apr 24 04:51:00 UTC 2026","","petstore","",""
"","1407","Navigate using in-page tab contents on click","WIDGET_DISPLAY_AND_MENUS","Fri Apr 24 05:05:06 UTC 2026","unknown","Fri Apr 24 05:05:07 UTC 2026","","Navigate using in-page tab contents on click","",""
"","32446","Check suggestions when using autocomplete on input field","WIDGET_INTERACTIONS_WITH_INPUT_FIELDS","Fri Apr 24 05:08:19 UTC 2026","failed","Fri Apr 24 05:08:52 UTC 2026","","Check suggestions when using autocomplete on input field","",""
"","3","Check frames nested are displayed properly","FRAMES","Fri Apr 24 05:04:57 UTC 2026","unknown","Fri Apr 24 05:04:57 UTC 2026","","Check frames nested are displayed properly","",""
"","31956","Display information tooltips on hover for designated element","WIDGET_DISPLAY_AND_MENUS","Fri Apr 24 05:07:47 UTC 2026","failed","Fri Apr 24 05:08:19 UTC 2026","","Display information tooltips on hover for designated element","",""
"","26","Rename a pet in petstore API","APIs","Fri Apr 24 04:51:00 UTC 2026","passed","Fri Apr 24 04:51:00 UTC 2026","","petstore","",""
