"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","3","UI: Elements inputs management","3","0","","0"
"0","","0","UI: Windows and tabs management","3","0","","0"
"0","","0","API: petstore api test","4","0","","0"
"0","","2","UI: Links_management","1","0","","0"
"0","","4","UI: Widget input management","0","0","","4"
"0","","3","UI: Button_management","1","0","","0"
"0","","0","UI: Frame management","0","0","","2"
"0","","1","UI: Drag and Drop management","0","0","","0"
"0","","3","UI: Widget display management","0","0","","2"
"0","","0","DATA: Connect to Database Mysql","0","1","","0"
"0","","2","UI: Popup management","0","0","","0"
"0","","0","DATA: Connect to Database MSSQL","0","1","","0"
"0","","1","UI: Form management","0","0","","0"
